id,subject,body,t1_final,t2_final
37741,Re: RE: RE: Re: Re: Regarding Case 5112294567 SR# 1-86184578761,"Hi,
I just checked the seller dashboard and notice that this transaction was
still counted a s a defect:

*Closed cases without seller resolution in daily performance (5) for U.S
Top-rated seller program* (12 months: 10/01/15 - 09/30/16):

2002-2009 Mercedes...
(191755612445)
View purchased item*- opens in a new window or tab*
<http://cgi.ebay.com/ws/eBayISAPI.dll?ViewItemVersion&item=191755612445&view=all&tid=1292962212009>This
item doesn't match the description in your listing.$995.00Aug 22,
2016usmanmanzoor Case is closed. Payment made.See details
<http://res.ebay.com/ws/eBayISAPI.dll?ResolveCPSCase&caseId=5112294567>


Would you please remove it.

Thanks,
Efim



On Thu, Sep 29, 2016 at 10:01 PM, <merchantsupport_na@ebay.com> wrote:

> [image: eBay]
> RE: RE: RE: Re: Re: Regarding Case 5112294567 SR# 1-86184578761
>
>
> Hello tuner-store-2,
>
>
>
> Thanks for getting back to us!  I'm sorry to hear that we weren't able to
> remove the negative feedback.  However, in answer to your question,
> feedback does not count as a defect on your account.
>
>
>
> Please let us know if you have any other questions or concerns.
>
> Thanks,
>
> Dan
>
> eBay Merchant Support
>
>
>
>
> *From:* <tunerstorepp@gmail.com>
> *Sent:* 9/27/2016 3:48:46 PM
> *To:*
> *CC:*
> *Subject:* RE: RE: Re: Re: Regarding Case 5112294567 SR# 1-86184578761
",M2M Escalation,Buyer Protect High ASP Claim
37742,VeRO reporting tool application from Yellow Brand Protection,"Dear VeRo,

I am writing on behalf of  P&G Company and would like to set up VeRo
reporting account.
Please find account details below and documents attached.

User ID - ipr.proctergamble-1
<http://www.ebay.co.uk/usr/ipr.proctergamble-1>

We are setting up the main P&G account, but will report for all the brands
P&G owns. For that we will supply you with all the necessary trademarks.
Please find attached VeRo application, P&G USPTO trademark, business
registration and PoA.
Additionally, to initiate our first enforcements we are attaching:
Oral B Malaysia trademark,
Pantene Philippines trademark,
SK-II and Oral B Singapore trademarks

Please let me know if you have any questions.
Thank you in advance for your help and collaboration.

Yours Sincerly
Linda Silberg
Yellow Brand Protection
on behalf of
Procter & Gamble Company
",e2M Listing,VeRO - CCR
37743,,NULL,Specialty,Logistics - CCR
37744,,NULL,Specialty,Logistics - CCR
37745,,"
    
Hi,
It's highly disappointing and unappreciated decision from ebay.The seller mailed me stating that if I do not pay the extra amount claimed the laptop will not be sent to me.The seller asked me to pay the extra amount through PayPal account. Finally, I made the extra payment.I asked the seller if he can claim item as low but it was in vain.I paid custom charges according to the amount I paid through PayPal that is $759.95 for the laptop at my end.
The custom office also was unable to switch on the laptop.
Only if I knew that the seller would claim me extra money outside ebay I would have chose another seller.
The laptop is defective.
I don't have money to buy another laptop.
I asked the seller to arrange the return for me.
Am I responsible the damaged packaging??
I am humbly requesting ebay to help me!
This seller fooled me.Please help me!


-------- Original message --------
From: highvalueclaimsinfo@ebay.com 
Date: 07/10/2016  17:00  (GMT+04:00) 
To: adurshsharma@yahoo.com 
Subject: Important Case (5114515613) Update: Case Closed SR# 1-88343633332 

.header{background-color:#f9f9f9;font-family:Helvetica Neue,Helvetica, Arial; Light;font-size:11px;}			body{margin:16px;color:#333333;background-color:#f9f9f9;font-family:Helvetica Neue,Helvetica, Arial; Reg;font-size:14px;font-weight:normal;font-style:normal;line-height: 1.2;}			#email p{margin: 14px 0;}			#email a{color:",M2M Escalation,Buyer Protect High ASP Claim
37746,Policy General," 

Hello, 

and thank you for the information. 

The delivery address is correct, and so is the phone number. There has
been no problems with deliveries until now! 

Please confirm. 

Thanks 

u21960z (Jan Knutzen) 

Den 06.10.2016 02:04, skrev customerhelp@ebay.co.uk: 

> eBay item undeliverable to your address - SR# 1-88173693642 
> 
> Hello u21960z, 
> 
> We're having trouble delivering your order of eBay item 322211082495 from vivienne196161 (ORA: A1552192782NO). This is usually caused by an incomplete or unrecognized address or phone number.
> 
> Please review the delivery address and phone number. The address we tried to deliver to is Skjerstadveien 2c,,oslo,Oslo,0378,Norway. The phone number is 47 22141176.
> 
> If these details are incorrect, please edit them here:
> http://payments.ebay.com/ws/eBayISAPI.dll?UserAddresses&cmd=standalone [1]
> 
> Note: We can't ship to an address in a different country than originally listed. Also, we don't ship to PO Boxes or Packstations.
> 
> --You don't need to contact us once you've updated the address.--
> 
> If the shipping address and phone number are correct, let us know by replying to this email.
> 
> We'll hold your item for 7 days while we wait for your updated address. If we haven't heard from you by then, we'll dispose of your item. We don't return undeliverable items to sellers. Once you'v",Specialty,Logistics - CCR
37747,FW: Infringement,"

Date: 5 October 2016



eBay Inc.

Attn: eBay VeRO Program

2145 Hamilton Ave.

San Jose, CA 95125

Fax number: (408) 516-8811





Dear eBay:



I, the undersigned, state under penalty of perjury that:



- I am the owner, or an agent authorized to act on behalf of the owner, of certain intellectual property rights (""IP Owner"");

- I have a good faith belief that the listings identified (by item

number) in the addendum attached hereto offer items or contain materials that are not authorized by the IP Owner, its agent, or the law; and

- Please act expeditiously to remove the listings identified in the addendum.



I may be contacted at:

Name of IP Owner: RH Smith & Sons T/A Smiffys

Name and title: Sharon Lister, Para Legal

Company: RH Smith & Sons T/A Smiffys

Address:  Caldicot Drive, Heapham Road Industrial Estate

City, State, and Zip: Gainsborough, Lincs, DN21 1FJ, England

Email address (for correspondence with eBay): Intellectualproperty@smiffys.com<mailto:Intellectualproperty@smiffys.com>

Email address (to be given to eBay sellers): IntellectualProperty@smiffys.com<mailto:IntellectualProperty@smiffys.com>

Telephone: +44 1427 616831

Fax:



In addition to the undersigned, the following persons have the proper authority to sign future Notices of Claimed Infringement on behalf of the IP Owner:



Name",e2M Listing,VeRO - CCR
37748,FW: Snapdragon Monitoring Ltd Acting for AFG Media Ltd.,"Please see below:

SnapDragon Monitoring Ltd is reporting these listings because they are making unauthorised use of the protected term 'Morphsuits' and/or the confusingly similar term 'Morph Suit' to sell products which are not original Morphsuits.
eBay International A.G.
Attn: VeRO Programme
Notice of Claimed Infringement
Intellectual Property Owner _______AFG Media Ltd
Name and Title _________SnapDragon Monitoring
Company _____________SnapDragon Monitoring Ltd
Address _____________111 Whitehouse Loan
City, Town, and Postcode _________Edinburgh - EH9 1AT
Email Address (for communication with eBay) ___roar@snapdragon-ip.com<mailto:___roar@snapdragon-ip.com​_________>
Email Address (for communication with sellers) ___roar@snapdragon-ip.com<mailto:___roar@snapdragon-ip.com_______>
Telephone_______+44 (0)131 226 6064
Website ________www.snapdragon-ip.com
Associate each item(s) reported as allegedly infringing with ONLY one of the reason codes listed on the following page.
Reason code: __2.1_ Work(s) Infringed: US Reg Cert 4143188
Region(s) of registration of your intellectual property: ____USA
________________
Item number(s):


162219068609
152256641649
152256654608
291139285560
162219053895
162219036819
162219035534
162219034087
152256536351
162218963016
162218920235
162218909917
162218896986
152256435999
162217841501
162217813186
1622178080",e2M Listing,VeRO - CCR
37749,eBay Mobile 5.3.0 iOS 10.0.2 - HK,"This seller canceled the order and never reply, refund, response my question.
seller:cheapiphones305
item id:262616062065
seller paypal:pagesandres@hotmail.com
please help :(, i want my money back (cry



Device: iPhone (iPhone7,2)
OS: 10.0.2
App Version: 5.3.0
User ID: issacsingtong@gmail.com
eBay Site: Hong Kong


從我�?iPhone 傳�?,M2M Escalation""",Buyer Protect High ASP Claim,
37750,,NULL,Specialty,Logistics - CCR
37751,,"On Oct 6, 2016 12:59 PM, <highvalueclaimsinfo@ebay.com> wrote:

> [image: eBay]
> Regarding case 5114836201 || SR # 1-88271694499 SR# 1-88272444688
>
>
> Hello Shaun,
>
>
>
> This email is in regard to the Saxophone you sold. Please reply to this
> email so it can come back to our department and we will be able to move on
> to the next step of the return.
>
>
>
> Thank you,
>
>
>
> Randy M.
>
> eBay Customer Service
>
>
>
> [THREAD ID: 1-88272444688]
>
>
> eBay Document ID: 37596272005
>
> eBay is committed to your privacy. Read our user agreement
> <http://pages.ebay.com/help/policies/user-agreement.html> and privacy
> notice <http://pages.ebay.com/help/policies/privacy-policy.html>. Learn
> how to recognize fake (spoof) emails
> <http://pages.ebay.com/help/account/recognizing-spoof.html>.
>
> Copyright © 2016 eBay Inc. All Rights Reserved. Designated trademarks and
> brands are the property of their respective owners. eBay and the eBay logo
> are trademarks of eBay Inc., 2145 Hamilton Avenue, San Jose, CA 95125.
>
",M2M Escalation,Buyer Protect High ASP Claim
37752,My item was removed,"Sent:	2016-10-05 00:23:26.0

Subject:	My item was removed

Enter your question / concern:	Two products that I was selling was taken down due to copyright violation. Here are the listings that were removed:142120396681 - Kyani Triangle of Health Pack - Nitro FX + Sunrise + Sunset142120399559 - Kyani XTREME Triangle of Health Pack - Nitro Xtreme + Sunrise + SunsetI did take pictures from google search BUT I did knowledge on the button of the page where I got these images. However not all pictures were from that website.I was NOT notified to take down the images I would've fixed the problem before it went this far. And due too being a google image search I thought they didn't show copyright material.AND VERY IMPORTANT one of the items that you took down was a sold item. The person has paid for it and I have posted it. BUT I now can't contact the seller to inform her that her item has been posted and can't send her the registered postage number. I am very disappointed that I was not contacted beforehand, before it went this far. I would've fixed up my post. Tina

Send a copy to my email address.:	on",e2M Listing,VeRO - CCR
